,PAGE_ID,NAME,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR,universe,UNIVERSE
0,1422,Batman (Bruce Wayne),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,3093,"1939, May",1939.0,DC,
1,23387,Superman (Clark Kent),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,2496,"1986, October",1986.0,DC,
2,1458,Green Lantern (Hal Jordan),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,1565,"1959, October",1959.0,DC,
3,1659,James Gordon (New Earth),Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,Heterosexual Character,Living Characters,1316,"1987, February",1987.0,DC,
4,1576,Richard Grayson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,1237,"1940, April",1940.0,DC,
5,1448,Wonder Woman (Diana Prince),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Character,Living Characters,1231,"1941, December",1941.0,DC,
6,1486,Aquaman (Arthur Curry),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Living Characters,1121,"1941, November",1941.0,DC,
7,1451,Timothy Drake (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,1095,"1989, August",1989.0,DC,
8,71760,Dinah Laurel Lance (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Character,Living Characters,1075,"1969, November",1969.0,DC,
9,1380,Flash (Barry Allen),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Living Characters,1028,"1956, October",1956.0,DC,
10,403631,GenderTest,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Character,Living Characters,1028,"1956, October",1956.0,DC,
11,1459,Alan Scott (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Deceased Characters,969,"1940, July",1940.0,DC,
12,1905,Barbara Gordon (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Heterosexual Character,Living Characters,951,"1967, January",1967.0,DC,
13,1386,Jason Garrick (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,951,"1940, January",1940.0,DC,
14,23383,Lois Lane (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Character,Living Characters,934,"1938, June",1938.0,DC,
15,1456,Alfred Pennyworth (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,930,"1943, April",1943.0,DC,
16,1849,Carter Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,803,"1940, January",1940.0,DC,
17,4320,Kyle Rayner (New Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,716,"1994, January",1994.0,DC,
18,1706,Raymond Palmer (New Earth),Public Identity,Good Characters,Brown Eyes,,Male Characters,Heterosexual Character,Living Characters,706,"1961, October",1961.0,DC,
19,1480,Alexander Luthor (New Earth),Public Identity,Bad Characters,Green Eyes,,Male Characters,Heterosexual Character,Living Characters,677,"1986, October",1986.0,DC,
20,1556,Roy Harper (New Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Male Characters,Heterosexual Character,Living Characters,654,"1941, November",1941.0,DC,
21,1580,Kara Zor-L (Earth-Two),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Character,Living Characters,635,"1976, February",1976.0,DC,
22,4849,Ted Grant (New Earth),Secret Identity,,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,605,"1942, January",1942.0,DC,
23,1611,Garfield Logan (New Earth),Public Identity,Good Characters,Green Eyes,Green Hair,Male Characters,Heterosexual Character,Living Characters,595,"1965, November",1965.0,DC,
24,1479,Guy Gardner (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual Character,Living Characters,593,"1968, March",1968.0,DC,
25,1582,Victor Stone (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,584,"1980, October",1980.0,DC,
26,14006,Kon-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,560,"1993, June",1993.0,DC,
27,1484,Ralph Dibny (New Earth),Public Identity,,Blue Eyes,Red Hair,Male Characters,Heterosexual Character,Deceased Characters,558,"1960, May",1960.0,DC,
28,23391,James Olsen (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Male Characters,Heterosexual Character,Living Characters,557,"1986, October",1986.0,DC,
29,1478,John Stewart (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,549,"1971, December",1971.0,DC,
30,1455,Joker (New Earth),Secret Identity,Bad Characters,Green Eyes,Green Hair,Male Characters,Heterosexual Character,Living Characters,517,"1940, June",1940.0,DC,
